TDA,NTCC,EP,L,C,CostoTotale,Energy,EnergyTC,CF,2,3,4,5,6,7,8,9,10,11,
1.000000,0.833333,0.277778,1.000000,0.225500,902.000000,1.000000,1.000000,0.467322,1,4,4,1,1,3,1,4,4,0,
1.000000,0.750000,0.134259,1.000000,0.250500,1002.000000,1.000000,0.000690,0.227090,1,1,0,3,3,4,0,1,2,4,
1.000000,0.583333,0.435185,1.000000,0.225500,902.000000,1.000000,1.000000,0.448804,0,1,2,1,1,1,1,4,1,1,
1.000000,0.750000,0.189815,1.000000,0.250500,1002.000000,1.000000,1.000000,0.438063,2,2,1,4,0,2,4,3,2,3,
1.000000,0.833333,0.226852,1.000000,0.225500,902.000000,1.000000,0.000765,0.257290,1,0,1,1,4,4,2,4,1,0,
1.000000,0.750000,0.236111,1.000000,0.225500,902.000000,1.000000,0.000633,0.242449,3,1,1,3,3,4,4,1,3,0,
1.000000,0.916667,0.180556,1.000000,0.250500,1002.000000,1.000000,1.000000,0.469544,3,3,4,1,2,1,3,3,0,2,
1.000000,0.833333,0.143519,1.000000,0.250500,1002.000000,1.000000,0.000588,0.245588,1,1,3,2,4,4,2,2,3,0,
1.000000,0.916667,0.166667,1.000000,0.250500,1002.000000,1.000000,1.000000,0.466767,2,4,1,0,4,1,4,3,3,4,
1.000000,0.750000,0.208333,1.000000,0.250250,1001.000000,1.000000,1.000000,0.441717,1,3,4,2,4,3,4,4,1,1,
1.000000,0.666667,0.189815,1.000000,0.250500,1002.000000,1.000000,1.000000,0.421396,4,4,4,2,2,3,1,1,0,1,
1.000000,0.916667,0.217593,1.000000,0.225500,902.000000,1.000000,1.000000,0.471952,1,4,2,2,4,1,4,0,2,4,
1.000000,0.833333,0.171296,1.000000,0.250500,1002.000000,1.000000,1.000000,0.451026,2,3,4,3,2,3,2,1,4,0,
1.000000,0.666667,0.175926,1.000000,0.250250,1001.000000,1.000000,1.000000,0.418569,4,3,0,3,0,2,2,3,0,2,
1.000000,0.833333,0.125000,1.000000,0.250500,1002.000000,1.000000,1.000000,0.441767,2,1,2,4,0,3,1,1,4,3,
1.000000,1.000000,0.134259,1.000000,0.250500,1002.000000,1.000000,1.000000,0.476952,0,3,3,1,1,2,4,0,4,1,
1.000000,0.833333,0.111111,1.000000,0.250500,1002.000000,1.000000,1.000000,0.438989,1,0,4,3,4,2,2,1,0,2,
1.000000,0.833333,0.162037,1.000000,0.250250,1001.000000,1.000000,1.000000,0.449124,0,4,3,2,4,3,3,2,0,4,
1.000000,0.583333,0.254630,1.000000,0.225500,902.000000,1.000000,1.000000,0.412693,2,2,2,2,4,0,4,0,1,0,
1.000000,0.750000,0.189815,1.000000,0.050500,202.000000,1.000000,1.000000,0.398063,1,2,1,1,0,0,3,2,3,0,
1.000000,0.833333,0.180556,1.000000,0.225500,902.000000,1.000000,1.000000,0.447878,1,3,0,4,3,1,4,1,0,1,
1.000000,0.666667,0.263889,1.000000,0.225500,902.000000,1.000000,1.000000,0.431211,0,2,4,4,1,0,4,0,0,0,
1.000000,0.916667,0.222222,1.000000,0.225500,902.000000,1.000000,1.000000,0.472878,1,4,4,4,2,1,4,0,0,2,
1.000000,0.750000,0.185185,1.000000,0.250500,1002.000000,1.000000,1.000000,0.437137,2,1,2,4,0,0,0,2,3,0,
1.000000,0.833333,0.212963,1.000000,0.250250,1001.000000,1.000000,1.000000,0.459309,3,3,4,2,4,0,4,4,3,2,
1.000000,0.750000,0.175926,1.000000,0.250500,1002.000000,1.000000,1.000000,0.435285,4,1,1,1,0,3,2,1,0,3,
