GENERATION,POP_AVG_CF,POP_STANDARD_DEVIATION,POP_SIZE,FEASIBLE_AVG_CF,FEASIBLE_STANDARD_DEVIATION,POP_SIZE_FEASIBLE,EXECUTION_TIME,POP_AVG_TDA,FEASIBLE_AVG_TDA,w_TDA,POP_AVG_NTCC,FEASIBLE_AVG_NTCC,w_NTCC,POP_AVG_EP,FEASIBLE_AVG_EP,w_EP,POP_AVG_COST,FEASIBLE_AVG_COST,w_COST,POP_AVG_LOAD,FEASIBLE_AVG_LOAD,w_LOAD,POP_AVG_SIZESW,FEASIBLE_AVG_SIZESW,w_SIZESW,POP_AVG_ENERGY,FEASIBLE_AVG_ENERGY,w_ENERGY,POP_AVG_ENERGYTC,FEASIBLE_AVG_ENERGYTC,w_ENERGYTC,
20,0.373440,0.094944,4255,0.373440,0.094944,4255,0.033828,1.000000,1.000000,0.000000,0.000137,0.000137,0.200000,0.203345,0.203345,0.200000,0.224469,0.224469,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.648374,0.648374,0.200000,
21,0.363803,0.099139,4255,0.363803,0.099139,4255,0.035079,1.000000,1.000000,0.000000,0.000137,0.000137,0.200000,0.197659,0.197659,0.200000,0.230483,0.230483,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.591774,0.591774,0.200000,
22,0.368414,0.096231,4255,0.368414,0.096231,4255,0.036609,1.000000,1.000000,0.000000,0.000137,0.000137,0.200000,0.198097,0.198097,0.200000,0.224008,0.224008,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.624429,0.624429,0.200000,
23,0.382346,0.092524,4255,0.382346,0.092524,4255,0.037803,1.000000,1.000000,0.000000,0.000137,0.000137,0.200000,0.202966,0.202966,0.200000,0.229598,0.229598,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.687842,0.687842,0.200000,
24,0.373000,0.095957,4255,0.373000,0.095957,4255,0.038874,1.000000,1.000000,0.000000,0.000196,0.000196,0.200000,0.201151,0.201151,0.200000,0.226366,0.226366,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.638991,0.638991,0.200000,
25,0.378600,0.093405,4255,0.378600,0.093405,4255,0.039915,1.000000,1.000000,0.000000,0.000157,0.000157,0.200000,0.199304,0.199304,0.200000,0.226230,0.226230,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.669525,0.669525,0.200000,
26,0.389610,0.090575,4255,0.389610,0.090575,4255,0.040859,1.000000,1.000000,0.000000,0.000235,0.000235,0.200000,0.196357,0.196357,0.200000,0.225749,0.225749,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.714155,0.714155,0.200000,
27,0.395613,0.089161,4255,0.395613,0.089161,4255,0.041736,1.000000,1.000000,0.000000,0.000137,0.000137,0.200000,0.207529,0.207529,0.200000,0.226266,0.226266,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.742567,0.742567,0.200000,
28,0.374189,0.095876,4255,0.374189,0.095876,4255,0.042576,1.000000,1.000000,0.000000,0.000176,0.000176,0.200000,0.202621,0.202621,0.200000,0.216271,0.216271,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.651193,0.651193,0.200000,
29,0.369394,0.099572,4255,0.369394,0.099572,4255,0.043572,1.000000,1.000000,0.000000,0.000157,0.000157,0.200000,0.199336,0.199336,0.200000,0.227548,0.227548,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.619245,0.619245,0.200000,
30,0.391475,0.089775,4255,0.391475,0.089775,4255,0.044459,1.000000,1.000000,0.000000,0.000196,0.000196,0.200000,0.203816,0.203816,0.200000,0.224511,0.224511,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.724014,0.724014,0.200000,
31,0.399629,0.084199,4255,0.399629,0.084199,4255,0.045167,1.000000,1.000000,0.000000,0.000137,0.000137,0.200000,0.195808,0.195808,0.200000,0.218151,0.218151,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.772399,0.772399,0.200000,
32,0.392645,0.090323,4255,0.392645,0.090323,4255,0.045960,1.000000,1.000000,0.000000,0.000235,0.000235,0.200000,0.202985,0.202985,0.200000,0.226567,0.226567,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.742331,0.742331,0.200000,
33,0.392867,0.085123,4255,0.392867,0.085123,4255,0.046645,1.000000,1.000000,0.000000,0.000157,0.000157,0.200000,0.198435,0.198435,0.200000,0.212347,0.212347,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.763011,0.763011,0.200000,
34,0.392468,0.087501,4255,0.392468,0.087501,4255,0.047355,1.000000,1.000000,0.000000,0.000137,0.000137,0.200000,0.202088,0.202088,0.200000,0.221702,0.221702,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.747736,0.747736,0.200000,
35,0.410109,0.076757,4255,0.410109,0.076757,4255,0.048071,1.000000,1.000000,0.000000,0.000137,0.000137,0.200000,0.203898,0.203898,0.200000,0.218000,0.218000,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.831821,0.831821,0.200000,
36,0.405424,0.079424,4255,0.405424,0.079424,4255,0.048762,1.000000,1.000000,0.000000,0.000137,0.000137,0.200000,0.200643,0.200643,0.200000,0.222728,0.222728,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.805039,0.805039,0.200000,
37,0.399514,0.083469,4255,0.399514,0.083469,4255,0.049424,1.000000,1.000000,0.000000,0.000137,0.000137,0.200000,0.200779,0.200779,0.200000,0.229805,0.229805,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.769100,0.769100,0.200000,
38,0.401102,0.085154,4255,0.401102,0.085154,4255,0.050164,1.000000,1.000000,0.000000,0.000215,0.000215,0.200000,0.202136,0.202136,0.200000,0.224674,0.224674,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.777328,0.777328,0.200000,
39,0.400139,0.084682,4255,0.400139,0.084682,4255,0.050797,1.000000,1.000000,0.000000,0.000176,0.000176,0.200000,0.196278,0.196278,0.200000,0.223673,0.223673,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.789302,0.789302,0.200000,
40,0.391353,0.091275,4255,0.391353,0.091275,4255,0.051475,1.000000,1.000000,0.000000,0.000157,0.000157,0.200000,0.191731,0.191731,0.200000,0.228185,0.228185,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.732697,0.732697,0.200000,
41,0.400588,0.085227,4255,0.400588,0.085227,4255,0.052122,1.000000,1.000000,0.000000,0.000176,0.000176,0.200000,0.193230,0.193230,0.200000,0.223994,0.223994,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.776392,0.776392,0.200000,
42,0.401331,0.082726,4255,0.401331,0.082726,4255,0.052727,1.000000,1.000000,0.000000,0.000176,0.000176,0.200000,0.196107,0.196107,0.200000,0.220928,0.220928,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.795181,0.795181,0.200000,
43,0.392642,0.087569,4255,0.392642,0.087569,4255,0.053371,1.000000,1.000000,0.000000,0.000176,0.000176,0.200000,0.200461,0.200461,0.200000,0.227734,0.227734,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.727296,0.727296,0.200000,
44,0.382893,0.093904,4255,0.382893,0.093904,4255,0.053984,1.000000,1.000000,0.000000,0.000235,0.000235,0.200000,0.207299,0.207299,0.200000,0.230252,0.230252,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.674448,0.674448,0.200000,
45,0.404405,0.083174,4255,0.404405,0.083174,4255,0.054561,1.000000,1.000000,0.000000,0.000215,0.000215,0.200000,0.194395,0.194395,0.200000,0.227154,0.227154,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.788841,0.788841,0.200000,
46,0.392126,0.089877,4255,0.392126,0.089877,4255,0.055146,1.000000,1.000000,0.000000,0.000235,0.000235,0.200000,0.193311,0.193311,0.200000,0.225473,0.225473,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.743979,0.743979,0.200000,
47,0.396330,0.080653,4255,0.396330,0.080653,4255,0.055739,1.000000,1.000000,0.000000,0.000157,0.000157,0.200000,0.200696,0.200696,0.200000,0.215966,0.215966,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.778739,0.778739,0.200000,
48,0.398344,0.083411,4255,0.398344,0.083411,4255,0.056306,1.000000,1.000000,0.000000,0.000196,0.000196,0.200000,0.200362,0.200362,0.200000,0.220681,0.220681,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.766525,0.766525,0.200000,
49,0.400486,0.083576,4255,0.400486,0.083576,4255,0.056824,1.000000,1.000000,0.000000,0.000215,0.000215,0.200000,0.203357,0.203357,0.200000,0.228201,0.228201,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.778746,0.778746,0.200000,
50,0.418537,0.068024,4255,0.418537,0.068024,4255,0.057331,1.000000,1.000000,0.000000,0.000176,0.000176,0.200000,0.202966,0.202966,0.200000,0.218258,0.218258,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.865175,0.865175,0.200000,
